"player","points","cells","social_info","unique_rounds","env_number","age","gender","soc_info_round","participantNr","gempresent","round","tot_points","attempt_refresh","gem","trial","group","cell","x","y","uniqueID","choice","round_gem_found","gem_found_how","gem_found","copy","social_info_use","performance_group","performance_group_f","demonstrator","demo_type","p_value_rand","mean_points","sd_points","z","gem_cell","gemlabel","remain_gem","demo_quality","demo_quality_f","age_f","treatment"
1,13,15,30,1,11,13,1,376,30009,1,1,760,0,0,1,"adolescents",14,6,1,1,14,4,"explore",1,0,"ignore",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,-0.297577230728471,21,"gem present",NA,"medium","medium","adolescents","ado_medium"
1,14,15,30,1,11,13,1,376,30009,1,1,760,0,0,2,"adolescents",14,6,1,1,14,4,"explore",1,0,"ignore",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,-0.280475091031433,21,"gem present",NA,"medium","medium","adolescents","ado_medium"
1,-1,15,30,1,11,13,1,376,30009,1,1,760,0,0,3,"adolescents",14,6,1,1,14,4,"explore",1,0,"ignore",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,-0.537007186487011,21,"gem present",NA,"medium","medium","adolescents","ado_medium"
1,265,22,30,1,11,13,1,376,30009,1,1,760,0,1,4,"adolescents",21,5,2,1,21,4,"explore",1,0,"ignore",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,4.01216197292525,21,"gem present",NA,"medium","medium","adolescents","ado_medium"
1,31,32,30,1,11,13,1,376,30009,1,1,760,0,0,5,"adolescents",31,7,3,1,31,4,"explore",1,0,"ignore",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,0.0102612838182232,21,"gem present",0,"medium","medium","adolescents","ado_medium"
1,4,19,30,1,11,13,1,376,30009,1,1,760,0,0,6,"adolescents",18,2,2,1,18,4,"explore",1,0,"ignore",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,-0.451496488001818,21,"gem present",0,"medium","medium","adolescents","ado_medium"
1,17,32,28,1,11,13,1,376,30009,1,1,760,0,0,7,"adolescents",31,7,3,1,31,4,"explore",1,0,"ignore",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,-0.229168671940317,21,"gem present",0,"medium","medium","adolescents","ado_medium"
1,-17,36,19,1,11,13,1,376,30009,1,1,760,0,0,8,"adolescents",35,3,4,1,35,4,"explore",1,0,"ignore",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,-0.810641421639628,21,"gem present",0,"medium","medium","adolescents","ado_medium"
1,-8,30,19,1,11,13,1,376,30009,1,1,760,0,0,9,"adolescents",29,5,3,1,29,4,"explore",1,0,"ignore",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,-0.656722164366281,21,"gem present",0,"medium","medium","adolescents","ado_medium"
1,0,20,19,1,11,13,1,376,30009,1,1,760,0,0,10,"adolescents",19,3,2,1,19,4,"explore",1,1,"copy",2,"medium",376,"gem_not_found",0.000000000000000000000000000991435961934372,30.4,58.4722156241749,-0.519905046789973,21,"gem present",0,"medium","medium","adolescents","ado_medium"
